Domain,Pages,Answers,Opportunity designed (citations),Opportunity designed (citations diff),Opportunity designed (sentiment score),Opportunity designed (sentiment score diff),Mckinsey & company (citations),Mckinsey & company (citations diff),Mckinsey & company (sentiment score),Mckinsey & company (sentiment score diff),Circana (citations),Circana (citations diff),Circana (sentiment score),Circana (sentiment score diff),Nielseniq (citations),Nielseniq (citations diff),Nielseniq (sentiment score),Nielseniq (sentiment score diff),Boston consulting group (citations),Boston consulting group (citations diff),Boston consulting group (sentiment score),Boston consulting group (sentiment score diff)
gravitasconsulting.com,2,2,-,-,-,-,2,-,100%,-,1,-,100%,-,-,-,-,-,1,-,100%,-
paulinalegall.com,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,0%,-
pwc.com,2,2,-,-,-,-,2,-,100%,-,1,-,100%,-,-,-,-,-,1,-,100%,-
retaildive.com,2,2,-,-,-,-,1,-,100%,-,1,-,100%,-,-,-,-,-,-,-,-,-
shelfbridge.com,2,2,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
strategyand.pwc.com,2,2,-,-,-,-,2,-,100%,-,1,-,100%,-,-,-,-,-,2,-,40%,-
www2.deloitte.com,2,2,-,-,-,-,2,-,60%,-,1,-,100%,-,1,-,100%,-,-,-,-,-
ampagency.com,1,2,-,-,-,-,2,-,50%,-,-,-,-,-,-,-,-,-,1,-,100%,-
barrelny.com,1,2,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
blackwellsalesgroup.com,1,2,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
chameleoncollective.com,1,2,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
cpginnovate.com,1,2,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
digitsagency.com,1,2,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
elevationretailconsulting.com,1,2,-,-,-,-,2,-,100%,-,1,-,100%,-,1,-,100%,-,-,-,-,-
govividly.com,1,2,-,-,-,-,2,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
jarrodbracey.com,1,2,-,-,-,-,1,-,100%,-,1,-,100%,-,1,-,100%,-,-,-,-,-
jgardnergroup.com,1,2,-,-,-,-,2,-,100%,-,1,-,100%,-,1,-,100%,-,1,-,0%,-
jorniestrategy.com,1,2,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,0%,-
junghauscpg.com,1,2,-,-,-,-,1,-,50%,-,1,-,100%,-,-,-,-,-,1,-,50%,-
lovretail.com,1,2,-,-,-,-,-,-,-,-,1,-,100%,-,1,-,100%,-,-,-,-,-
northousegroup.com,1,2,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
retaileditco.com,1,2,-,-,-,-,2,-,100%,-,2,-,100%,-,-,-,-,-,2,-,100%,-
retaylortherapy.com,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,0%,-
shopperxp.com,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,100%,-,-,-,-,-
srginsight.com,1,2,-,-,-,-,1,-,100%,-,-,-,-,-,1,-,100%,-,-,-,-,-
storetrials.com,1,2,-,-,-,-,-,-,-,-,1,-,100%,-,1,-,100%,-,-,-,-,-
thegraysoncompany.com,1,2,-,-,-,-,2,-,100%,-,1,-,100%,-,1,-,100%,-,-,-,-,-
clutch.co,2,1,-,-,-,-,2,-,0%,-,-,-,-,-,-,-,-,-,2,-,0%,-
pitchkitchen.com,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sciencedirect.com,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
203creates.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
accionlabs.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,0%,-
adjacentspace.co,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
adnomics.co.uk,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
agencycreative.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
arcandbeam.com,1,1,-,-,-,-,1,-,0%,-,1,-,100%,-,-,-,-,-,-,-,-,-
au.linkedin.com,1,1,-,-,-,-,-,-,-,-,1,-,50%,-,1,-,50%,-,-,-,-,-
batchconsultinggroup.com,1,1,-,-,-,-,1,-,0%,-,1,-,100%,-,-,-,-,-,-,-,-,-
bch.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bcv-n.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
bluechipww.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
blyn.co.uk,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
bobsyouruncle.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-
brand3p.com,1,1,-,-,-,-,1,-,100%,-,1,-,100%,-,1,-,100%,-,1,-,100%,-
brandcapitalconsulting.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
brandkriya.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
breakthrubeauty.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,0%,-
britonsg.com,1,1,-,-,-,-,1,-,50%,-,1,-,100%,-,-,-,-,-,1,-,50%,-
bsgsolutions.net,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,100%,-,-,-,-,-
cadentcg.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,1,-,100%,-,-,-,-,-
cadsonline.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-
capgemini.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,1,-,100%,-,-,-,-,-
cascadiafoodbev.com,1,1,-,-,-,-,1,-,0%,-,1,-,0%,-,1,-,0%,-,1,-,0%,-
catalystmediaconsulting.com,1,1,-,-,-,-,1,-,0%,-,1,-,0%,-,-,-,-,-,-,-,-,-
catapult-analytics.com,1,1,-,-,-,-,1,-,0%,-,1,-,0%,-,-,-,-,-,-,-,-,-
catman.global,1,1,-,-,-,-,1,-,0%,-,1,-,0%,-,-,-,-,-,-,-,-,-
catmananalytics.com,1,1,-,-,-,-,1,-,0%,-,1,-,0%,-,-,-,-,-,-,-,-,-
causewayretail.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,100%,-,-,-,-,-
cdn2.hubspot.net,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
chancebranding.com,1,1,-,-,-,-,-,-,-,-,1,-,100%,-,1,-,100%,-,-,-,-,-
colemanharrison.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,0%,-
compassadvisoryllc.com,1,1,-,-,-,-,1,-,50%,-,1,-,100%,-,-,-,-,-,1,-,50%,-
consultclarity.org,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,100%,-,-,-,-,-
consulting.us,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,100%,-,-,-,-,-
cp-co.net,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cpgbrokers.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-
crescentstrategy.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
crresearch.com,1,1,-,-,-,-,1,-,0%,-,1,-,0%,-,-,-,-,-,-,-,-,-
dacs.ca,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
edgebev.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
edgestrategy.co.uk,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,0%,-
eggstrategy.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,0%,-
elixirr.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,0%,-
emersongroup.com,1,1,-,-,-,-,1,-,100%,-,1,-,100%,-,1,-,100%,-,1,-,100%,-
envirosell.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,1,-,100%,-,-,-,-,-
envistacorp.com,1,1,-,-,-,-,1,-,100%,-,1,-,100%,-,-,-,-,-,1,-,100%,-
explorerresearch.com,1,1,-,-,-,-,-,-,-,-,1,-,100%,-,1,-,100%,-,-,-,-,-
factmr.com,1,1,-,-,-,-,-,-,-,-,1,-,50%,-,1,-,50%,-,-,-,-,-
fourwall.co,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-
freyrsolutions.com,1,1,-,-,-,-,-,-,-,-,1,-,100%,-,1,-,100%,-,-,-,-,-
gambitstrat.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ghoriesconsulting.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
go.centricsoftware.com,1,1,-,-,-,-,1,-,100%,-,1,-,100%,-,1,-,100%,-,-,-,-,-
gocaptain.ai,1,1,-,-,-,-,1,-,0%,-,1,-,0%,-,-,-,-,-,-,-,-,-
goclair.com,1,1,-,-,-,-,1,-,100%,-,1,-,100%,-,1,-,100%,-,-,-,-,-
gocrisp.com,1,1,-,-,-,-,1,-,0%,-,1,-,0%,-,-,-,-,-,-,-,-,-
greaterthan.work,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hangar-12.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-
hannahalley.co.uk,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
helmstoneadvisory.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
highlandedge.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
hutchmerchandising.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
ibdcllc.com,1,1,-,-,-,-,1,-,0%,-,1,-,100%,-,-,-,-,-,-,-,-,-
ilianamcgrath.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
infosys.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,100%,-,-,-,-,-
integrationcms.bain.com,1,1,-,-,-,-,1,-,0%,-,1,-,100%,-,-,-,-,-,-,-,-,-
internationalconsultinggroup.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,0%,-
inthestore.org,1,1,-,-,-,-,1,-,100%,-,1,-,100%,-,-,-,-,-,1,-,100%,-
ir.youradv.com,1,1,-,-,-,-,1,-,100%,-,1,-,100%,-,-,-,-,-,1,-,100%,-
iseetradeworks.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
katzmktgsolutions.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kedraco.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
lambert.associates,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
lazard.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,1,-,100%,-,-,-,-,-
linearchitecture.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-
liquidagency.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
liquidmindadvisory.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
loopagencygroup.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
ludbrookagency.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,0%,-
malachite-strategy.com,1,1,-,-,-,-,1,-,0%,-,1,-,100%,-,-,-,-,-,-,-,-,-
marketplace.microsoft.com,1,1,-,-,-,-,-,-,-,-,1,-,100%,-,1,-,100%,-,-,-,-,-
marketplace.walmart.com,1,1,-,-,-,-,-,-,-,-,1,-,100%,-,1,-,100%,-,-,-,-,-
mckinsey.de,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
middle-east.kearney.com,1,1,-,-,-,-,1,-,50%,-,1,-,100%,-,-,-,-,-,1,-,50%,-
mlogicconsulting.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
mordorintelligence.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mso.consulting,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
naturallynetwork.org,1,1,-,-,-,-,1,-,0%,-,1,-,0%,-,1,-,0%,-,1,-,0%,-
noon-nyc.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,0%,-
notchstrategy.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
partnerlinq.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-
planohero.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,100%,-,-,-,-,-
premiumisation.com.au,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
pressbergconsulting.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-
pricing.one,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
protrademkt.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
purposefulprofits.co,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-
rcg.hr,1,1,-,-,-,-,1,-,100%,-,1,-,100%,-,-,-,-,-,1,-,100%,-
redbrandconsulting.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
repsly.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,100%,-,-,-,-,-
retailiq.kantar.com,1,1,-,-,-,-,1,-,100%,-,1,-,100%,-,-,-,-,-,1,-,100%,-
retaility.org,1,1,-,-,-,-,1,-,100%,-,1,-,100%,-,1,-,100%,-,1,-,100%,-
retailstreetadvisors.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-
revenuerx.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-
revolutionbeautyplc.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,0%,-
rightchain.com,1,1,-,-,-,-,1,-,100%,-,1,-,100%,-,1,-,100%,-,-,-,-,-
sappanllc.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sheldonmeeks.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
shiftsource.work,1,1,-,-,-,-,1,-,0%,-,1,-,0%,-,1,-,0%,-,1,-,0%,-
shoppermarketing.orases.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,0%,-
siegelgale.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
skybitesconsulting.com,1,1,-,-,-,-,1,-,0%,-,1,-,100%,-,-,-,-,-,-,-,-,-
sourceretailconsulting.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
speakagency.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,0%,-
strategyco.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
strategycorps.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
studio-mfm.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
swellny.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,0%,-
sysgenpro.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,100%,-,-,-,-,-
taliertradinggroup.com,1,1,-,-,-,-,1,-,100%,-,1,-,100%,-,1,-,100%,-,1,-,100%,-
tbwa.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-
tcgen.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,0%,-
the8020institute.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,0%,-
thebluebirdgrp.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
thebrandbrokerage.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
thecpgretail.com,1,1,-,-,-,-,1,-,100%,-,1,-,100%,-,-,-,-,-,-,-,-,-
thepartneringgroup.com,1,1,-,-,-,-,1,-,100%,-,1,-,100%,-,1,-,100%,-,-,-,-,-
theprojectretail.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
tieronecpg.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tinuiti.com,1,1,-,-,-,-,-,-,-,-,1,-,50%,-,1,-,50%,-,-,-,-,-
tpdconsulting.ie,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,100%,-,-,-,-,-
trasix.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-
uniteddsn.com,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
untold.agency,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-
upscalability.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,100%,-
vault49.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,1,-,0%,-
velmorastrategy.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
visiongroupretail.com,1,1,-,-,-,-,-,-,-,-,1,-,100%,-,1,-,100%,-,-,-,-,-
weareryse.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
web-assets.bcg.com,1,1,-,-,-,-,1,-,0%,-,-,-,-,-,-,-,-,-,1,-,0%,-
whitespacecpg.com,1,1,-,-,-,-,1,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-
